Well number,Condition,Sample
SRR7093809,no disease,GSE113957
SRR7093874,no disease,GSE113957
SRR7093875,no disease,GSE113957
SRR7093876,no disease,GSE113957
SRR7093877,no disease,GSE113957
SRR7093944,no disease,GSE113957
SRR7093951,no disease,GSE113957
SRR7093810,no disease,GSE113957
SRR7093811,no disease,GSE113957
SRR7093812,no disease,GSE113957
SRR7093813,no disease,GSE113957
SRR7093814,no disease,GSE113957
SRR7093815,no disease,GSE113957
SRR7093816,no disease,GSE113957
SRR7093817,no disease,GSE113957
SRR7093818,no disease,GSE113957
SRR7093819,no disease,GSE113957
SRR7093820,no disease,GSE113957
SRR7093821,no disease,GSE113957
SRR7093822,no disease,GSE113957
SRR7093878,no disease,GSE113957
SRR7093879,no disease,GSE113957
SRR7093880,no disease,GSE113957
SRR7093881,no disease,GSE113957
SRR7093882,no disease,GSE113957
SRR7093883,no disease,GSE113957
SRR7093884,no disease,GSE113957
SRR7093885,no disease,GSE113957
SRR7093886,no disease,GSE113957
SRR7093887,no disease,GSE113957
SRR7093888,no disease,GSE113957
SRR7093889,no disease,GSE113957
SRR7093890,no disease,GSE113957
SRR7093891,no disease,GSE113957
SRR7093892,no disease,GSE113957
SRR7093893,no disease,GSE113957
SRR7093894,no disease,GSE113957
SRR7093895,no disease,GSE113957
SRR7093896,no disease,GSE113957
SRR7093897,no disease,GSE113957
SRR7093898,no disease,GSE113957
SRR7093899,no disease,GSE113957
SRR7093900,no disease,GSE113957
SRR7093901,no disease,GSE113957
SRR7093902,no disease,GSE113957
SRR7093903,no disease,GSE113957
SRR7093904,no disease,GSE113957
SRR7093905,no disease,GSE113957
SRR7093906,no disease,GSE113957
SRR7093907,no disease,GSE113957
SRR7093908,no disease,GSE113957
SRR7093909,no disease,GSE113957
SRR7093927,no disease,GSE113957
SRR7093928,no disease,GSE113957
SRR7093929,no disease,GSE113957
SRR7093930,no disease,GSE113957
SRR7093931,no disease,GSE113957
SRR7093932,no disease,GSE113957
SRR7093933,no disease,GSE113957
SRR7093945,no disease,GSE113957
SRR7093946,no disease,GSE113957
SRR7093947,no disease,GSE113957
SRR7093948,no disease,GSE113957
SRR7093949,no disease,GSE113957
SRR7093950,no disease,GSE113957
SRR1810679,no disease,GSE66053
SRR1810680,no disease,GSE66053
SRR1810681,no disease,GSE66053
SRR1810682,no disease,GSE66053
SRR1810683,no disease,GSE66053
SRR1810684,no disease,GSE66053
SRR1810685,no disease,GSE66053
SRR1810686,no disease,GSE66053
SRR1810687,no disease,GSE66053
SRR1810688,no disease,GSE66053
SRR1810689,no disease,GSE66053
SRR1810690,no disease,GSE66053
SRR1810691,no disease,GSE66053
SRR1810692,no disease,GSE66053
SRR1810693,no disease,GSE66053
SRR1810694,no disease,GSE66053
SRR1810695,no disease,GSE66053
SRR1810696,no disease,GSE66053
SRR1810697,no disease,GSE66053
SRR1810698,no disease,GSE66053
SRR1810699,no disease,GSE66053
SRR1810700,no disease,GSE66053
SRR1810701,no disease,GSE66053
SRR1810702,no disease,GSE66053
SRR1810703,no disease,GSE66053
SRR1810704,no disease,GSE66053
SRR1810705,no disease,GSE66053
SRR1810706,no disease,GSE66053
SRR1810707,no disease,GSE66053
SRR1810708,no disease,GSE66053
SRR1810709,no disease,GSE66053
SRR1810710,no disease,GSE66053
SRR1810711,no disease,GSE66053
SRR1810712,no disease,GSE66053
SRR1810713,no disease,GSE66053
SRR1810714,no disease,GSE66053
SRR1810715,no disease,GSE66053
SRR1810716,no disease,GSE66053
SRR1810717,no disease,GSE66053
SRR1810718,no disease,GSE66053
SRR1810719,no disease,GSE66053
SRR1810720,no disease,GSE66053
SRR1810721,no disease,GSE66053
SRR1810722,no disease,GSE66053
SRR1810723,no disease,GSE66053
SRR1810724,no disease,GSE66053
SRR1810725,no disease,GSE66053
SRR1810726,no disease,GSE66053
SRR1810727,no disease,GSE66053
SRR1810728,no disease,GSE66053
SRR1810729,no disease,GSE66053
SRR1810730,no disease,GSE66053
SRR1810731,no disease,GSE66053
SRR1810732,no disease,GSE66053
SRR1810733,no disease,GSE66053
SRR1810734,no disease,GSE66053
SRR1810735,no disease,GSE66053
SRR1810736,no disease,GSE66053
SRR1810737,no disease,GSE66053
SRR1810738,no disease,GSE66053
SRR1810739,no disease,GSE66053
SRR1810740,no disease,GSE66053
SRR1810741,no disease,GSE66053
SRR1810742,no disease,GSE66053
SRR1810743,no disease,GSE66053
SRR1810744,no disease,GSE66053
SRR1810745,no disease,GSE66053
SRR1810746,no disease,GSE66053
SRR1810747,no disease,GSE66053
SRR1810748,no disease,GSE66053
SRR1810749,no disease,GSE66053
SRR1810750,no disease,GSE66053
SRR1810751,no disease,GSE66053
SRR1810752,no disease,GSE66053
