Well number,Condition,Sample
SRR7093809,no disease,GSE113957
SRR7093874,no disease,GSE113957
SRR7093875,no disease,GSE113957
SRR7093876,no disease,GSE113957
SRR7093877,no disease,GSE113957
SRR7093944,no disease,GSE113957
SRR7093951,no disease,GSE113957
SRR1810679,no disease,GSE66053
SRR1810680,no disease,GSE66053
SRR1810681,no disease,GSE66053
SRR1810682,no disease,GSE66053
SRR1810683,no disease,GSE66053
SRR1810684,no disease,GSE66053
SRR1810685,no disease,GSE66053
SRR1810686,no disease,GSE66053
SRR1810687,no disease,GSE66053
SRR1810688,no disease,GSE66053
SRR1810689,no disease,GSE66053
SRR1810690,no disease,GSE66053
SRR1810691,no disease,GSE66053
SRR1810692,no disease,GSE66053
SRR1810693,no disease,GSE66053
SRR1810694,no disease,GSE66053
SRR1810695,no disease,GSE66053
SRR1810696,no disease,GSE66053
SRR1810697,no disease,GSE66053
SRR1810698,no disease,GSE66053
SRR1810699,no disease,GSE66053
SRR1810700,no disease,GSE66053
SRR1810701,no disease,GSE66053
SRR1810702,no disease,GSE66053
SRR1810703,no disease,GSE66053
SRR1810704,no disease,GSE66053
SRR1810705,no disease,GSE66053
SRR1810706,no disease,GSE66053
SRR1810707,no disease,GSE66053
SRR1810708,no disease,GSE66053
SRR1810709,no disease,GSE66053
SRR1810710,no disease,GSE66053
SRR1810711,no disease,GSE66053
SRR1810712,no disease,GSE66053
SRR1810713,no disease,GSE66053
SRR1810714,no disease,GSE66053
SRR1810715,no disease,GSE66053
SRR1810716,no disease,GSE66053
SRR1810717,no disease,GSE66053
SRR1810718,no disease,GSE66053
SRR1810719,no disease,GSE66053
SRR1810720,no disease,GSE66053
SRR1810721,no disease,GSE66053
SRR1810722,no disease,GSE66053
SRR1810723,no disease,GSE66053
SRR1810724,no disease,GSE66053
SRR1810725,no disease,GSE66053
SRR1810726,no disease,GSE66053
SRR1810727,no disease,GSE66053
SRR1810728,no disease,GSE66053
SRR1810729,no disease,GSE66053
SRR1810730,no disease,GSE66053
SRR1810731,no disease,GSE66053
SRR1810732,no disease,GSE66053
SRR1810733,no disease,GSE66053
SRR1810734,no disease,GSE66053
SRR1810735,no disease,GSE66053
SRR1810736,no disease,GSE66053
SRR1810737,no disease,GSE66053
SRR1810738,no disease,GSE66053
SRR1810739,no disease,GSE66053
SRR1810740,no disease,GSE66053
SRR1810741,no disease,GSE66053
SRR1810742,no disease,GSE66053
SRR1810743,no disease,GSE66053
SRR1810744,no disease,GSE66053
SRR1810745,no disease,GSE66053
SRR1810746,no disease,GSE66053
SRR1810747,no disease,GSE66053
SRR1810748,no disease,GSE66053
SRR1810749,no disease,GSE66053
SRR1810750,no disease,GSE66053
SRR1810751,no disease,GSE66053
SRR1810752,no disease,GSE66053
