Well number,Condition
A13,disease
B13,disease
C13,disease
D13,disease
E13,disease
F13,disease
G13,disease
H13,disease
I13,disease
J13,disease
K13,disease
L13,disease
M13,disease
N13,disease
O13,disease
A14,disease
B14,disease
C14,disease
D14,disease
E14,disease
F14,disease
G14,disease
H14,disease
I14,disease
J14,disease
K14,disease
L14,disease
M14,disease
N14,disease
O14,disease
P14,disease
A15,disease
B15,disease
C15,disease
D15,disease
E15,disease
F15,disease
G15,disease
H15,disease
I15,disease
J15,disease
K15,disease
L15,disease
M15,disease
N15,disease
O15,disease
P15,disease
SRR1810679,no disease
SRR1810680,no disease
SRR1810681,no disease
SRR1810682,no disease
SRR1810683,no disease
SRR1810684,no disease
SRR1810685,no disease
SRR1810686,no disease
SRR1810687,no disease
SRR1810688,no disease
SRR1810689,no disease
SRR1810690,no disease
SRR1810691,no disease
SRR1810692,no disease
SRR1810693,no disease
SRR1810694,no disease
SRR1810695,no disease
SRR1810696,no disease
SRR1810697,no disease
SRR1810698,no disease
SRR1810699,no disease
SRR1810700,no disease
SRR1810701,no disease
SRR1810702,no disease
SRR1810703,no disease
SRR1810704,no disease
SRR1810705,no disease
SRR1810706,no disease
SRR1810707,no disease
SRR1810708,no disease
SRR1810709,no disease
SRR1810710,no disease
SRR1810711,no disease
SRR1810712,no disease
SRR1810713,no disease
SRR1810714,no disease
SRR1810715,no disease
SRR1810716,no disease
SRR1810717,no disease
SRR1810718,no disease
SRR1810719,no disease
SRR1810720,no disease
SRR1810721,no disease
SRR1810722,no disease
SRR1810723,no disease
SRR1810724,no disease
SRR1810725,no disease
SRR1810726,no disease
SRR1810727,no disease
SRR1810728,no disease
SRR1810729,no disease
SRR1810730,no disease
SRR1810731,no disease
SRR1810732,no disease
SRR1810733,no disease
SRR1810734,no disease
SRR1810735,no disease
SRR1810736,no disease
SRR1810737,no disease
SRR1810738,no disease
SRR1810739,no disease
SRR1810740,no disease
SRR1810741,no disease
SRR1810742,no disease
SRR1810743,no disease
SRR1810744,no disease
SRR1810745,no disease
SRR1810746,no disease
SRR1810747,no disease
SRR1810748,no disease
SRR1810749,no disease
SRR1810750,no disease
SRR1810751,no disease
SRR1810752,no disease
