Well number,Condition
A19,Disease
B19,Disease
C19,Disease
D19,Disease
E19,Disease
F19,Disease
G19,Disease
H19,Disease
I19,Disease
J19,Disease
K19,Disease
L19,Disease
M19,Disease
N19,Disease
O19,Disease
A20,Disease
B20,Disease
C20,Disease
D20,Disease
E20,Disease
F20,Disease
G20,Disease
H20,Disease
I20,Disease
J20,Disease
K20,Disease
L20,Disease
M20,Disease
N20,Disease
O20,Disease
P20,Disease
A21,Disease
B21,Disease
C21,Disease
D21,Disease
E21,Disease
F21,Disease
G21,Disease
H21,Disease
I21,Disease
J21,Disease
K21,Disease
L21,Disease
M21,Disease
N21,Disease
O21,Disease
P21,Disease
SRR1810676,no disease
SRR1810677,no disease
SRR1810678,no disease
